Level,Circle,Office Id,Office Code,Office Name,Latitude,Longitude
Corporate Office,Deputy Chief Engineer (HRM) II,3461,4000,Director (Distribution &amp; SCM),8.516541,76.939104
Chief Office,Chief Engineer (Distribution North Malabar) Kannur,3575,6002,Chief Engineer (Distribution North Malabar) Kannur,11.876818,75.374179
Chief Office,Deputy Chief Engineer (HRM) II,3965,1166,Central Project Monitoring Cell,8.516541,76.939104
Chief Office,Ernakulam Electrical Circle,1071,5001,Chief Engineer (Distribution Central) Ernakulam,9.96771776,76.281126
Chief Office,Kozhikode Electrical Circle,1435,6001,Chief Engineer (Distribution North) Kozhikode,11.263842,75.769264
Chief Office,Thiruvananthapuram Electrical Circle(Urban),796,4001,Chief Engineer (Distribution South) Tvpm,8.4861,76.94976
Circle,Alappuzha Electrical Circle,1073,5021,Alappuzha Electrical Circle,9.500399,76.328781
Circle,CGRF Kottarakkara,2397,4091,CGRF Kottarakkara,8.998531,76.769956
Circle,Ernakulam Electrical Circle,1081,5022,Ernakulam Electrical Circle,9.99158876,76.279018
Circle,Harippad Electrical Circle,3502,5028,Harippad Electrical Circle,9.281619,76.454507
Circle,Irinjalakuda Electrical Circle,1100,5026,Irinjalakuda Electrical Circle,10.345995,76.207046
Circle,Kalpetta Electrical Circle,1448,6023,Kalpetta Electrical Circle,11.61656,76.08321
Circle,Kannur Electrical Circle,1462,6025,Kannur Electrical Circle,11.876818,75.374179
Circle,Kasaragod Electrical Circle,3824,6154,Kasaragod Project Management Unit,12.52308264,75.01417812
Circle,Kasaragod Electrical Circle,1469,6026,Kasaragod Electrical Circle,12.52308264,75.01417812
Circle,Kattakada Electrical Circle (Rural),803,4022,Kattakada Electrical Circle (Rural),8.508135,77.083779
Circle,Kollam Electrical Circle,808,4023,Kollam Electrical Circle,8.88281,76.593555
Circle,Kottarakkara Electrical Circle,812,4024,Kottarakkara Electrical Circle,8.998531,76.769956
Circle,Kottayam Electrical Circle,823,4026,Kottayam Electrical Circle,9.535497,76.512485
Circle,Kozhikode CGRF,1456,6091,Kozhikode CGRF,11.263842,75.769264
Circle,Kozhikode Electrical Circle,1454,6024,Kozhikode Electrical Circle,11.263842,75.769264
Circle,Manjeri Electrical Circle,1443,6022,Manjeri Electrical Circle,11.1207781,76.1135149
Circle,Nilambur Electrical Circle,3501,6031,Nilambur Electrical Circle,11.267007,76.218335
Circle,Pala Electrical Circle,1097,5025,Pala Electrical Circle,9.716144,76.682914
Circle,Palakkad Electrical Circle,1438,6021,Palakkad Electrical Circle,10.772684,76.653114
Circle,Pathanamthitta Electrical Circle,816,4025,Pathanamthitta Electrical Circle,9.2549546,76.7834025
Circle,Perumbavoor Electrical Circle,1086,5023,Perumbavoor Electrical Circle,10.117796,76.480425
Circle,Perumbavoor Electrical Circle,1854,5091,Ernakulam CGRF,10.05379,76.33044
Circle,Shoranur Electrical Circle,1479,6029,Shoranur Electrical Circle,10.776626,76.293039
Circle,Sreekandapuram Electrical Circle,1482,6030,Sreekandapuram Electrical Circle,12.04391739,75.50388941
Circle,Thiruvananthapuram Electrical Circle(Urban),800,4021,Thiruvananthapuram Electrical Circle(Urban),8.4861,76.94976
Circle,Thodupuzha Electrical Circle,1093,5024,Thodupuzha Electrical Circle,9.891834,76.708817
Circle,Thrissur Electrical Circle,3030,5920,Nodal Office for 100% Electrication,10.527936,76.205381
Circle,Thrissur Electrical Circle,1108,5027,Thrissur Electrical Circle,10.527936,76.205381
Circle,Tirur Electrical Circle,1473,6027,Tirur Electrical Circle,10.915905,75.91822
Circle,Vadakara Electrical Circle,1476,6028,Vadakara Electrical Circle,11.608749,75.603056
Division,Alappuzha Electrical Circle,4084,5127,"ACRIP, ALAPPUZHA",9.500399,76.328781
Division,Alappuzha Electrical Circle,1127,5102,Cherthala Electrical Division,9.691474,76.341557
Division,Alappuzha Electrical Circle,1111,5101,Alappuzha Electrical Division,9.500399,76.328781
Division,Alappuzha Electrical Circle,3814,5150,Alappuzha Project Management Unit,9.500399,76.328781
Division,Ernakulam Electrical Circle,1174,5105,Ernakulam Electrical Division,9.99158876,76.279018
Division,Ernakulam Electrical Circle,89,1122,Aluva Regional Store,10.09884,76.35821
Division,Ernakulam Electrical Circle,3815,5151,Ernakulam Project Management Unit,9.99158876,76.279018
Division,Ernakulam Electrical Circle,1203,5107,Mattancherry Electrical Division,9.935757,76.254855
Division,Ernakulam Electrical Circle,4085,5128,Dyuthi Project Monitoring Division,9.99158876,76.279018
